To, Assignment Name, Value
led_r[0], Location, PIN_G19
led_r[1], Location, PIN_F19
led_r[2], Location, PIN_E19
led_r[3], Location, PIN_F21
led_r[4], Location, PIN_F18
led_r[5], Location, PIN_E18
led_r[6], Location, PIN_J19
led_r[7], Location, PIN_H19
led_r[8], Location, PIN_J17
led_r[9], Location, PIN_G17
led_r[10], Location, PIN_J15
led_r[11], Location, PIN_H16
led_r[12], Location, PIN_J16
led_r[13], Location, PIN_H17
led_r[14], Location, PIN_F15
led_r[15], Location, PIN_G15
led_r[16], Location, PIN_G16
led_r[17], Location, PIN_H15
sw[0], Location, PIN_AB28
sw[1], Location, PIN_AC28
sw[2], Location, PIN_AC27
sw[3], Location, PIN_AD27
sw[4], Location, PIN_AB27
sw[5], Location, PIN_AC26
sw[6], Location, PIN_AD26
sw[7], Location, PIN_AB26
sw[8], Location, PIN_AC25
sw[9], Location, PIN_AB25
sw[10], Location, PIN_AC24
sw[11], Location, PIN_AB24
sw[12], Location, PIN_AB23
sw[13], Location, PIN_AA24
sw[14], Location, PIN_AA23
sw[15], Location, PIN_AA22
sw[16], Location, PIN_Y24
sw[17], Location, PIN_Y23
hex1[0], Location, PIN_M24
hex1[1], Location, PIN_Y22
hex1[2], Location, PIN_W21
hex1[3], Location, PIN_W22
hex1[4], Location, PIN_W25
hex1[5], Location, PIN_U23
hex1[6], Location, PIN_U24
