# Copyright (C) 1991-2013 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II 64-Bit Version 13.0.1 Build 232 06/12/2013 Service Pack 1 SJ Full Version
# File: H:\My HDL Projects\DE2_115\DE2_115_PINS.csv
# Generated on: Mon Sep 09 11:36:05 2013

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,VREF Group,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair
LEDR[0],Unknown,PIN_G19,7,B7_N2,2.5 V,,,,
LEDR[1],Unknown,PIN_F19,7,B7_N0,2.5 V,,,,
LEDR[2],Unknown,PIN_E19,7,B7_N0,2.5 V,,,,
LEDR[3],Unknown,PIN_F21,7,B7_N0,2.5 V,,,,
LEDR[4],Unknown,PIN_F18,7,B7_N1,2.5 V,,,,
LEDR[5],Unknown,PIN_E18,7,B7_N1,2.5 V,,,,
LEDR[6],Unknown,PIN_J19,7,B7_N2,2.5 V,,,,
LEDR[7],Unknown,PIN_H19,7,B7_N2,2.5 V,,,,
LEDR[8],Unknown,PIN_J17,7,B7_N2,2.5 V,,,,
LEDR[9],Unknown,PIN_G17,7,B7_N1,2.5 V,,,,
LEDR[10],Unknown,PIN_J15,7,B7_N2,2.5 V,,,,
LEDR[11],Unknown,PIN_H16,7,B7_N2,2.5 V,,,,
LEDR[12],Unknown,PIN_J16,7,B7_N2,2.5 V,,,,
LEDR[13],Unknown,PIN_H17,7,B7_N2,2.5 V,,,,
LEDR[14],Unknown,PIN_F15,7,B7_N2,2.5 V,,,,
LEDR[15],Unknown,PIN_G15,7,B7_N2,2.5 V,,,,
LEDR[16],Unknown,PIN_G16,7,B7_N2,2.5 V,,,,
LEDR[17],Unknown,PIN_H15,7,B7_N2,2.5 V,,,,
LEDG[0],Unknown,PIN_E21,7,B7_N0,2.5 V,,,,
LEDG[1],Unknown,PIN_E22,7,B7_N0,2.5 V,,,,
LEDG[2],Unknown,PIN_E25,7,B7_N1,2.5 V,,,,
LEDG[3],Unknown,PIN_E24,7,B7_N1,2.5 V,,,,
LEDG[4],Unknown,PIN_H21,7,B7_N2,2.5 V,,,,
LEDG[5],Unknown,PIN_G20,7,B7_N1,2.5 V,,,,
LEDG[6],Unknown,PIN_G22,7,B7_N2,2.5 V,,,,
LEDG[7],Unknown,PIN_G21,7,B7_N1,2.5 V,,,,
LEDG[8],Unknown,PIN_F17,7,B7_N2,2.5 V,,,,
KEY[0],Unknown,PIN_M23,6,B6_N2,2.5 V,,,,
KEY[1],Unknown,PIN_M21,6,B6_N1,2.5 V,,,,
KEY[2],Unknown,PIN_N21,6,B6_N2,2.5 V,,,,
KEY[3],Unknown,PIN_R24,5,B5_N0,2.5 V,,,,
SW[0],Unknown,PIN_AB28,5,B5_N1,2.5 V,,,,
SW[1],Unknown,PIN_AC28,5,B5_N2,2.5 V,,,,
SW[2],Unknown,PIN_AC27,5,B5_N2,2.5 V,,,,
SW[3],Unknown,PIN_AD27,5,B5_N2,2.5 V,,,,
SW[4],Unknown,PIN_AB27,5,B5_N1,2.5 V,,,,
SW[5],Unknown,PIN_AC26,5,B5_N2,2.5 V,,,,
SW[6],Unknown,PIN_AD26,5,B5_N2,2.5 V,,,,
SW[7],Unknown,PIN_AB26,5,B5_N1,2.5 V,,,,
SW[8],Unknown,PIN_AC25,5,B5_N2,2.5 V,,,,
SW[9],Unknown,PIN_AB25,5,B5_N1,2.5 V,,,,
SW[10],Unknown,PIN_AC24,5,B5_N2,2.5 V,,,,
