To,Direction,Location
CLOCK_27,Input,PIN_B14
LEDG[3],Output,PIN_E24
LEDG[2],Output,PIN_E25
LEDG[1],Output,PIN_E22
LEDG[0],Output,PIN_E21
LEDR[17],Output,PIN_H15
LEDR[16],Output,PIN_G16
LEDR[15],Output,PIN_G15
LEDR[14],Output,PIN_F15
LEDR[13],Output,PIN_H17
LEDR[12],Output,PIN_J16
LEDR[11],Output,PIN_H16
LEDR[10],Output,PIN_J15
LEDR[9],Output,PIN_G17
LEDR[8],Output,PIN_J17
LEDR[7],Output,PIN_H19
LEDR[6],Output,PIN_J19
LEDR[5],Output,PIN_E18
LEDR[4],Output,PIN_F18
LEDR[3],Output,PIN_F21
LEDR[2],Output,PIN_E19
LEDR[1],Output,PIN_F19
LEDR[0],Output,PIN_G19
SW[1],Input,PIN_AC28
SW[0],Input,PIN_AB28
HEXd[0],Output,PIN_G18
HEXd[1],Output,PIN_F22
HEXd[2],Output,PIN_E17
HEXd[3],Output,PIN_L26
HEXd[4],Output,PIN_L25
HEXd[5],Output,PIN_J22
HEXd[6],Output,PIN_H22
HEXd[7],Output,PIN_M24
HEXd[8],Output,PIN_Y22
HEXd[9],Output,PIN_W21
HEXd[10],Output,PIN_W22
HEXd[11],Output,PIN_W25
HEXd[12],Output,PIN_U23
HEXd[13],Output,PIN_U24
HEXd[14],Output,PIN_AA25
HEXd[15],Output,PIN_AA26
HEXd[16],Output,PIN_Y25
HEXd[17],Output,PIN_W26
HEXd[18],Output,PIN_Y26
HEXd[19],Output,PIN_W27
HEXd[20],Output,PIN_W28
HEXd[21],Output,PIN_AB19
HEXd[22],Output,PIN_AA19
HEXd[23],Output,PIN_AG21
HEXd[24],Output,PIN_AH21
HEXd[25],Output,PIN_AE19
HEXd[26],Output,PIN_AF19
HEXd[27],Output,PIN_AE18
HEXd[28],Output,PIN_AD18
HEXd[29],Output,PIN_AC18
HEXd[30],Output,PIN_AB18
HEXd[31],Output,PIN_AH19
HEXd[32],Output,PIN_AG19
HEXd[33],Output,PIN_AF18
HEXd[34],Output,PIN_AH18
HEXd[35],Output,PIN_AA17
HEXd[36],Output,PIN_AB16
HEXd[37],Output,PIN_AA16
HEXd[38],Output,PIN_AB17
HEXd[39],Output,PIN_AB15
HEXd[40],Output,PIN_AA15
HEXd[41],Output,PIN_AC17
rest[0],Unknown,PIN_V21
rest[1],Unknown,PIN_U21
rest[2],Unknown,PIN_AB20
rest[3],Unknown,PIN_AA21
rest[4],Unknown,PIN_AD24
rest[5],Unknown,PIN_AF23
rest[6],Unknown,PIN_Y19
rest[7],Unknown,PIN_AD17
rest[8],Unknown,PIN_AE17
rest[9],Unknown,PIN_AG17
rest[10],Unknown,PIN_AH17
rest[11],Unknown,PIN_AF17
rest[12],Unknown,PIN_AG18
rest[13],Unknown,PIN_AA14
