To, Assignment Name, Value
clk_27, Location, PIN_B14
not_reset, Location, PIN_M23
not_southbound_left_request, Location, PIN_M21
debug, Location, PIN_AB25

hex0[0], Location, PIN_G18
hex0[1], Location, PIN_F22
hex0[2], Location, PIN_E17
hex0[3], Location, PIN_L26
hex0[4], Location, PIN_L25
hex0[5], Location, PIN_J22
hex0[6], Location, PIN_H22

hex1[0], Location, PIN_M24
hex1[1], Location, PIN_Y22
hex1[2], Location, PIN_W21
hex1[3], Location, PIN_W22
hex1[4], Location, PIN_W25
hex1[5], Location, PIN_U23
hex1[6], Location, PIN_U24

hex3[0], Location, PIN_V21
hex3[1], Location, PIN_U21
hex3[2], Location, PIN_AB20
hex3[3], Location, PIN_AA21
hex3[4], Location, PIN_AD24
hex3[5], Location, PIN_AF23
hex3[6], Location, PIN_Y19

hex5[0], Location, PIN_AD18
hex5[1], Location, PIN_AC18
hex5[2], Location, PIN_AB18
hex5[3], Location, PIN_AH19
hex5[4], Location, PIN_AG19
hex5[5], Location, PIN_AF18
hex5[6], Location, PIN_AH18

hex7[0], Location, PIN_AD17
hex7[1], Location, PIN_AE17
hex7[2], Location, PIN_AG17
hex7[3], Location, PIN_AH17
hex7[4], Location, PIN_AF17
hex7[5], Location, PIN_AG18
hex7[6], Location, PIN_AA14

ledg2, Location, PIN_E25
